indice_tiempo,produccion_petroleo_crudo,productos_procesados,petroleo_crudo_procesado,produccion_gasoil,produccion_nafta_comun_mayor83_ron,produccion_nafta_super_mayor93_ron,produccion_nafta_mayor97_ron,produccion_fuel_oil,produccion_mezclas_ifo,produccion_butano,produccion_propano,produccion_aerokerosene,produccion_coque,ventas_gasoil,ventas_nafta_comun_mayor83_ron,ventas_nafta_super_mayor93_ron,ventas_nafta_mayor97_ron,despachos_asfalto
2000-08-01,3675.030407,2723.4,2723.374,889.564,166.388,339.436,19.595,104.27,,75.301,75.173,97.152,105.38,982.83,101.983,290.11,0.0,49.339
2000-09-01,3498.9879030000006,2277.6,2279.971,595.662,74.421,177.187,20.088,76.489,,30.775,41.563,92.417,56.417,948.022,98.56,284.912,0.0,35.232
2000-10-01,3785.9649859999977,2492.8,2492.811,768.626,105.038,329.542,16.843,88.668,,60.877,53.243,129.032,95.529,906.438,94.526,278.339,0.0,49.202
2000-11-01,3497.8754640000006,2577.4,2576.952,1177.719,159.848,332.877,60.045,178.974,,86.419,64.846,143.024,132.026,947.895,94.252,276.388,0.0,38.456
2000-12-01,3385.1009899999985,2636.0,2643.041,1181.256,166.899,386.043,92.852,181.265,,90.007,76.744,154.394,121.409,1017.111,105.207,317.725,0.0,46.581
2001-01-01,3741.553022999999,2624.7,2624.7,1064.522,188.214,315.927,88.572,213.188,,90.025,72.243,145.612,120.029,904.177,96.794,244.312,59.736,28.601
2001-02-01,3165.250446000002,2420.7,2420.719,998.685,166.863,303.295,67.93,161.068,,84.447,71.365,157.2,123.329,825.9524640000001,86.39288099999999,221.214996,53.614598,25.855
2001-03-01,3720.6805040000017,2535.5,2535.526,1008.294,114.559,397.128,97.894,146.051,,82.855,70.334,144.982,137.394,969.582,92.841,240.578,55.51,36.839
2001-04-01,3629.0920099999994,2565.7,2565.707,995.042,127.168,381.694,96.245,157.001,,94.731,81.351,117.642,137.337,955.207,83.467,217.092,52.659,27.697
2001-05-01,3871.382061000002,2638.7,2638.705,1052.058,186.523,368.337,102.039,176.222,,100.201,88.277,755.9609999999999,117.136,983.9718399999999,84.044,214.07498999999999,51.65473,24.98
2001-06-01,3677.563241,2571.9,2571.924,993.745,166.106,392.236,84.728,146.785,,102.223,84.06,116.146,123.84,918.2937,81.2078,209.20520000000002,49.7399,27.504
2001-07-01,3793.1897769999982,2682.5,2682.471,1095.903,128.342,404.446,77.91,113.289,,107.366,81.812,134.758,133.895,903.155,91.216,230.824,53.057,43.711
2001-08-01,3820.2025779999994,2643.7,2643.701,1091.465,109.973,464.939,101.928,163.386,,96.071,79.903,135.098,137.349,888.3552,79.10417,208.28286,48.343779999999995,38.4
2001-09-01,3790.077434999999,2481.4,2481.39,1040.769,100.76,314.314,79.446,133.84,,98.832,78.809,139.515,115.98,821.79,74.602,197.268,45.802,38.935
2001-10-01,3773.10013,2325.8,2325.785,970.86,129.729,367.411,54.852,138.054,,101.369,80.775,92.74,138.581,859.72931,79.7267,211.36501,50.486,35.528
2001-11-01,3779.2174049999985,2336.8,2336.787,916.905,75.534,449.365,52.199,135.668,,78.945,75.197,121.962,133.33,908.715,75.371,204.957,48.158,34.794
2001-12-01,3855.684169000001,2370.8,2370.778,995.974,87.311,434.298,81.425,139.586,,82.248,78.029,116.148,137.659,846.90149,80.37805999999999,192.49998000000002,80.31299,30.542
2002-01-01,3777.491174999999,2499.19,2494.639,1000.375,97.716,413.219,67.495,156.344,,64.579,73.653,157.095,140.122,769.13432,77.06453,215.47898,48.0885,19.641
2002-02-01,3370.7253989999995,2162.75,2160.236,859.574,88.99,339.71,53.283,128.481,,62.272,68.88,136.175,127.48,782.243,76.157,208.402,45.764,18.568
